Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 145 1116,U1116,Chilko,3,0.62,Stellako,3,0.19,Kuzkwa_Cr,3,0.09,Middle,3,0.08,U_Horsefly,3,0.02
Hakai_P_A12 (15) unkn 145 1181,U1181,Chilko,3,0.96,U_Horsefly,3,0.03,Chilko_south,2,0.01,,,,,,
Hakai_P_A12 (15) unkn 145 1182,U1182,Chilko,3,0.97,Chilko_south,2,0.01,Birkenhead,3,0.01,Pitt,2,0.00,L_Adams,4,0.00
Hakai_P_A12 (15) unkn 145 605,U605,Chilko,3,0.52,Chilko_south,2,0.20,L_Adams,4,0.14,Birkenhead,3,0.07,U_Horsefly,3,0.05
Hakai_P_A12 (15) unkn 145 606,U606,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 145 607,U607,Mitchell,3,0.99,Chilko,3,0.01,U_Horsefly,3,0.01,Blue_Lead_Ck,3,0.00,Wasko_Cr,3,0.00
Hakai_P_A12 (15) unkn 145 608,U608,Chilko,3,0.99,Chilko_south,2,0.00,Mitchell,3,0.00,Stellako,3,0.00,Pinchi_Cr,3,0.00
Hakai_P_A12 (15) unkn 145 609,U609,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 145 610,U610,U_Horsefly,3,0.97,L_Horsefly,3,0.01,L_Adams,4,0.01,Horsefly,3,0.01,McKinley,3,0.00
Hakai_P_A12 (15) unkn 145 698,U698,Chilko,3,0.84,Middle,3,0.05,U_Horsefly,3,0.04,L_Adams,4,0.02,Sandpoint,1,0.01
Hakai_P_A12 (15) unkn 145 699,U699,Chilko,3,0.87,Porter_Cr,1,0.07,Sandpoint,1,0.02,Kynock,1,0.01,Gluskie,1,0.01
Hakai_P_A12 (15) unkn 145 700,U700,Chilko,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 145 743,U743,Weaver,4,0.99,Middle,3,0.01,,,,,,,,,
Hakai_P_A12 (15) unkn 145 744,U744,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 145 745,U745,U_Horsefly,3,0.85,Middle,3,0.10,L_Adams,4,0.01,Hudson_Bay,1,0.01,Horsefly,3,0.01
Hakai_P_A12 (15) unkn 145 746,U746,Thompson_N,2,1.00,Raft,2,0.00,L_Adams,4,0.00,,,,,,
Hakai_P_A12 (15) unkn 145 747,U747,Weaver,4,0.72,Birkenhead,3,0.27,Chilko,3,0.01,Middle,3,0.00,,,
Hakai_P_A12 (15) unkn 145 748,U748,Chilko,3,1.00,Chilko-North,3,0.00,U_Horsefly,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 145 973,U973,Chilko,3,0.98,Birkenhead,3,0.01,Weaver,4,0.00,,,,,,
Hakai_P_A12 (15) unkn 145 974,U974,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 145 975,U975,Middle,3,0.60,Stellako,3,0.16,Chilko,3,0.09,Kuzkwa_Cr,3,0.07,Porter_Cr,1,0.02
Hakai_P_A12 (15) unkn 145 976,U976,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 145 977,U977,Mitchell,3,1.00,Chilko,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 145 978,U978,Chilko,3,0.97,Chilko_south,2,0.02,L_Adams,4,0.01,U_Horsefly,3,0.00,Chilko-North,3,0.00
Hakai_P_A12 (15) unkn 145 979,U979,Middle,3,0.59,Chilko,3,0.22,Stellako,3,0.18,Kuzkwa_Cr,3,0.01,Nadina,2,0.01
Hakai_P_A12 (15) unkn 145 980,U980,Mitchell,3,1.00,Wasko_Cr,3,0.00,,,,,,,,,
